Count,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Satisfaction Score,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Churn Category
1.0,,23.0,Yes,No,,No,0.0,,California,Morro Bay,93442.0,"35.369553, -120.763864",35.369553,-120.763864,3.0,,Yes,9.0,1.0,None,No,0.0,No,Yes,DSL,14.0,,No,No,No,No,Yes,Yes,,Month-to-Month,No,,35.0,35.0,0.0,0.0,0.0,35.0,
,,26.0,Yes,No,No,No,0.0,,,,,,,,,,No,0.0,63.0,None,,21.45,Yes,Yes,,85.0,,Yes,Yes,Yes,Yes,No,No,Yes,One Year,No,Credit Card,104.5,6590.8,0.0,0.0,1351.35,7942.15,
1.0,Male,48.0,No,No,No,No,0.0,United States,California,Trinity Center,,"41.081847, -122.700545",41.081847,-122.700545,5.0,Q3,No,0.0,1.0,Offer E,No,0.0,No,Yes,DSL,6.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,24.4,24.4,0.0,,,24.4,
1.0,,23.0,Yes,No,,No,0.0,United States,California,Anaheim,92807.0,"33.848733, -117.788357",33.848733,-117.788357,4.0,Q3,Yes,8.0,72.0,Offer A,Yes,7.85,Yes,,Fiber Optic,20.0,Yes,Yes,,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,106.85,7677.4,0.0,100.0,565.1999999999999,8342.6,
1.0,Male,20.0,Yes,No,No,Yes,2.0,,California,Fresno,93650.0,"36.841655, -119.797113",36.841655,-119.797113,4.0,Q3,No,0.0,53.0,Offer B,Yes,47.81,No,,Cable,59.0,,Yes,No,,,,No,Yes,One Year,No,Credit Card,62.85,3419.5,,0.0,,5953.43,
1.0,,23.0,Yes,No,,No,0.0,United States,California,Santa Rosa,95401.0,"38.460517, -122.790335",38.460517,,3.0,Q3,Yes,9.0,3.0,,,11.47,No,Yes,DSL,51.0,No,Yes,No,No,Yes,No,No,,,Yes,Credit Card,58.7,168.6,0.0,,34.410000000000004,203.01,
1.0,Male,77.0,No,Yes,No,No,0.0,United States,California,Round Mountain,,"40.923558, -122.059933",40.923558,-122.059933,1.0,Q3,No,0.0,1.0,None,,49.6,Yes,Yes,Fiber Optic,20.0,No,No,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,88.8,88.8,0.0,10.0,49.6,,
1.0,Male,40.0,No,No,No,No,0.0,United States,California,San Francisco,94123.0,"37.800254, -122.436975",37.800254,-122.436975,5.0,,No,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,Male,70.0,No,Yes,Yes,No,0.0,,,,,,,,4.0,Q3,Yes,9.0,2.0,Offer E,Yes,,No,Yes,Fiber Optic,24.0,,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,70.1,141.65,0.0,,69.98,211.63,
1.0,Female,41.0,No,No,No,No,0.0,,,,,,,,3.0,Q3,No,0.0,3.0,Offer E,Yes,24.63,,No,None,0.0,No,No,No,No,No,No,,No,Month-to-Month,No,Bank Withdrawal,19.75,58.85,0.0,,73.89,132.74,
1.0,Male,29.0,Yes,No,Yes,Yes,3.0,United States,California,Patterson,95363.0,"37.410236, -121.320337",37.410236,-121.320337,,Q3,Yes,6.0,,None,Yes,36.65,No,Yes,Fiber Optic,69.0,Yes,Yes,No,No,No,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,90.8,3023.85,0.0,0.0,1172.8,4196.65,
1.0,Male,23.0,Yes,No,Yes,Yes,2.0,United States,California,Berkeley,94710.0,"37.872902, -122.303708",,-122.303708,4.0,Q3,Yes,3.0,12.0,None,Yes,49.7,No,,None,0.0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,21.05,,0.0,0.0,596.4000000000001,,
1.0,Female,64.0,No,No,Yes,No,0.0,United States,California,Calimesa,,"33.982787, -117.057627",33.982787,-117.057627,2.0,Q3,Yes,1.0,1.0,Offer E,Yes,21.65,No,Yes,Fiber Optic,13.0,,No,,No,No,No,No,,Month-to-Month,Yes,Bank Withdrawal,68.95,,0.0,0.0,21.65,90.6,
1.0,Female,38.0,No,No,,No,0.0,United States,California,Sacramento,95827.0,"38.549185, -121.328386",38.549185,-121.328386,4.0,Q3,No,0.0,60.0,None,Yes,16.81,No,,,21.0,No,,Yes,,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,99.65,5941.05,0.0,0.0,1008.5999999999999,6949.65,
1.0,,23.0,Yes,No,,No,0.0,,,,,,,,,Q3,No,0,1.0,Offer E,Yes,11.25,No,,None,0.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.2,,0.0,0.0,11.25,31.45,
1.0,Male,47.0,No,No,No,No,0.0,United States,California,,93454.0,"34.943523, -120.256729",34.943523,,4.0,Q3,No,0.0,4.0,None,Yes,6.86,No,No,None,0.0,No,No,,No,No,No,No,No,One Year,No,Credit Card,19.95,68.2,,0.0,27.44,95.64,
1.0,Male,48.0,No,No,No,No,0.0,United States,California,Campo,91906.0,,32.673483,-116.472863,,,No,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,Male,66.0,No,Yes,No,No,0.0,,California,Simi Valley,93065.0,"34.269449, -118.768471",34.269449,-118.768471,5.0,Q3,No,0.0,,Offer A,Yes,2.37,Yes,No,None,,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,25.1,1789.9,0.0,0.0,170.64000000000001,1960.5400000000002,
1.0,,39.0,No,No,No,No,0.0,United States,California,Los Angeles,,,34.002028,-118.430656,2.0,,No,0.0,4.0,None,Yes,28.89,No,Yes,DSL,3.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,74.4,299.7,0.0,0.0,115.56,415.26,
1.0,Female,32.0,No,No,No,Yes,3.0,,,,,,,,,,No,0.0,1.0,None,Yes,,No,Yes,Fiber Optic,57.0,No,,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.35,79.35,0.0,0.0,,,
1.0,Male,32.0,No,No,Yes,No,0.0,United States,California,Palmdale,93550.0,"34.536232, -118.082935",,-118.082935,4.0,Q3,Yes,2.0,17.0,Offer D,Yes,45.35,No,Yes,DSL,11.0,Yes,Yes,No,,No,Yes,Yes,Yes,One Year,No,,64.8,1175.6,0.0,0.0,770.95,1946.55,
1.0,Female,62.0,No,No,No,No,0.0,United States,California,Yucca Valley,92284.0,,34.159534,-116.425984,3.0,Q3,No,0.0,12.0,None,No,0.0,No,Yes,Cable,24.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,60.65,743.3,,0.0,0.0,702.89,
1.0,Female,48.0,No,No,Yes,Yes,2.0,,California,Cedarville,96104.0,"41.505916, -120.152505",41.505916,-120.152505,5.0,Q3,Yes,10.0,72.0,None,Yes,14.17,No,No,,0.0,No,No,No,No,No,No,No,,Two Year,No,Bank Withdrawal,20.1,1460.85,0.0,0.0,1020.24,2481.09,
1.0,,23.0,Yes,No,,No,0.0,United States,California,Yorba Linda,92886.0,"33.897253, -117.792202",33.897253,-117.792202,3.0,Q3,No,0.0,35.0,None,Yes,20.39,Yes,Yes,DSL,,Yes,No,No,No,No,,No,Yes,Two Year,No,Credit Card,55.25,1924.1,0.0,0.0,713.65,2637.75,
1.0,Male,21.0,Yes,No,,Yes,3.0,,,Winton,95388.0,"37.421299, -120.599587",37.421299,-120.599587,4.0,,Yes,4.0,58.0,None,No,,No,Yes,Cable,52.0,Yes,Yes,Yes,No,Yes,No,No,,One Year,No,Mailed Check,50.0,2919.85,0.0,0.0,0.0,,
1.0,Female,40.0,No,No,Yes,No,0.0,United States,California,Rodeo,94572.0,"38.027218, -122.23463",38.027218,-122.23463,2.0,Q3,Yes,1.0,47.0,,,44.26,,Yes,Cable,23.0,No,No,Yes,,No,,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.3,4045.65,0.0,0.0,2080.22,6125.87,
,Male,58.0,No,No,Yes,No,0.0,United States,,Marshall,94940.0,"38.129308, -122.834815",38.129308,-122.834815,,Q3,Yes,1.0,40.0,Offer B,,16.33,Yes,Yes,Fiber Optic,23.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,,3706.95,41.85,0.0,653.1999999999999,,
1.0,Male,20.0,Yes,No,No,No,0.0,United States,,Linden,,"38.047746, -121.030499",38.047746,,3.0,Q3,No,0.0,68.0,None,Yes,5.84,Yes,No,,,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,24.55,1657.4,0.0,0.0,397.12,2054.52,
1.0,Male,23.0,Yes,No,Yes,Yes,1.0,United States,,Ojai,93023.0,"34.581308, -118.931948",34.581308,-118.931948,4.0,Q3,Yes,2.0,,Offer A,,35.9,Yes,Yes,Cable,59.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,One Year,No,Bank Withdrawal,,5445.95,,0.0,,7958.95,
1.0,Female,54.0,No,No,Yes,No,0.0,United States,,Irvine,92618.0,"33.667145, -117.732135",33.667145,-117.732135,4.0,Q3,Yes,4.0,,Offer B,Yes,21.15,Yes,Yes,Fiber Optic,24.0,No,Yes,,No,No,No,No,Yes,,Yes,Bank Withdrawal,81.55,5029.05,0.0,0.0,1332.4499999999998,6361.5,
1.0,Male,65.0,No,Yes,No,No,0.0,United States,California,Somerset,95684.0,"38.606703, -120.586659",38.606703,-120.586659,4.0,Q3,No,0.0,67.0,None,,,No,Yes,Fiber Optic,11.0,Yes,Yes,No,Yes,Yes,,Yes,Yes,Two Year,Yes,,105.05,7171.7,0.0,0.0,2293.41,9465.11,
1.0,Female,70.0,No,Yes,No,No,0.0,,,,,,,,1.0,Q3,No,0.0,9.0,None,,,Yes,Yes,Fiber Optic,27.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.55,622.9,33.25,0.0,158.04,747.6899999999999,
1.0,Female,29.0,Yes,No,Yes,No,0.0,,California,Ione,95640.0,"38.33788, -120.954202",38.33788,-120.954202,5.0,Q3,Yes,6.0,46.0,None,Yes,2.0,Yes,Yes,Fiber Optic,,No,,Yes,Yes,Yes,Yes,,Yes,,Yes,Credit Card,108.9,4854.3,0.0,,92.0,4946.3,
1.0,,23.0,Yes,No,,No,0.0,United States,California,Thousand Oaks,91362.0,"34.191842, -118.822796",34.191842,-118.822796,3.0,Q3,Yes,1.0,16.0,None,Yes,46.86,No,,None,0.0,No,No,No,No,,No,No,No,Month-to-Month,No,,19.6,314.45,,0.0,749.76,1037.38,
,Female,50.0,No,No,No,No,0.0,United States,California,Rio Oso,95674.0,"38.954144, -121.482536",38.954144,-121.482536,,Q3,No,0.0,,None,Yes,41.08,Yes,Yes,Fiber Optic,25.0,No,No,No,No,No,No,No,Yes,,,,,136.05,,,82.16,218.21,
1.0,Female,65.0,No,Yes,No,No,0.0,United States,California,Byron,94514.0,"37.83323, -121.601461",37.83323,,1.0,Q3,No,0,14.0,Offer D,Yes,16.36,Yes,Yes,Fiber Optic,6.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,78.95,1101.85,,0.0,,1330.8899999999999,
,Female,63.0,No,No,No,No,0,United States,California,Cedar Glen,92321.0,,34.255203,-117.175654,4.0,Q3,No,0.0,50.0,Offer B,Yes,37.95,No,No,,0.0,No,No,No,No,,No,,No,One Year,No,Bank Withdrawal,19.75,989.05,0.0,0.0,1897.5000000000002,2886.55,
,,23.0,Yes,No,,No,0.0,,,,,,,,3.0,,No,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,Male,50.0,No,No,No,No,0.0,,,,,,,,2.0,Q3,No,0,1.0,None,Yes,22.86,No,Yes,Fiber Optic,25.0,No,,No,No,,,No,No,Month-to-Month,Yes,Bank Withdrawal,69.8,69.8,0.0,10.0,22.86,102.66,
1.0,Male,73.0,No,Yes,Yes,No,0.0,United States,California,Middletown,95461.0,"38.787446, -122.58675",38.787446,-122.58675,5.0,,No,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,Female,49.0,No,No,,No,0.0,United States,California,Pasadena,91105.0,"34.13946, -118.166649",34.13946,-118.166649,4.0,Q3,Yes,5.0,34.0,Offer C,Yes,11.52,Yes,No,None,0.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,24.7,780.2,0.0,0.0,391.68,1171.88,
,Female,31.0,No,No,Yes,No,0.0,United States,California,La Puente,91746.0,"34.038983, -117.991372",34.038983,-117.991372,2.0,Q3,Yes,1.0,48.0,None,No,0.0,No,Yes,DSL,22.0,No,Yes,Yes,No,No,No,No,Yes,One Year,No,Mailed Check,34.7,,0.0,0.0,0.0,,
1.0,Male,40.0,No,No,No,No,0.0,,California,Crestline,92325.0,"34.248061, -117.29028",34.248061,-117.29028,,Q3,No,0.0,,Offer E,Yes,15.53,,Yes,Fiber Optic,14.0,No,No,Yes,No,,,Yes,,Month-to-Month,Yes,,94.05,811.65,0.0,0.0,139.76999999999998,951.42,
1.0,,23.0,Yes,No,,No,0.0,United States,California,Pescadero,94060.0,,37.22565,-122.297533,,Q3,No,0.0,1.0,None,,0.0,No,,DSL,12.0,No,No,No,No,No,No,No,Yes,,,Bank Withdrawal,24.6,24.6,0.0,0.0,0.0,,
1.0,,23.0,Yes,No,,No,0.0,United States,,San Jose,,"37.238758, -121.828375",37.238758,-121.828375,3.0,,No,0.0,20.0,None,Yes,3.8,No,Yes,Fiber Optic,26.0,,No,No,No,No,No,No,,Month-to-Month,,Credit Card,70.55,1493.55,17.6,0.0,76.0,,
1.0,,62.0,No,No,Yes,No,0.0,,,,,,,,,Q3,Yes,4.0,29.0,None,Yes,39.5,Yes,Yes,Fiber Optic,16.0,No,Yes,Yes,No,No,No,,No,Month-to-Month,Yes,,85.8,2440.25,0.0,150.0,1145.5,3735.75,
1.0,Male,48.0,No,No,,Yes,2.0,United States,,Santa Monica,,"34.026334, -118.474222",34.026334,-118.474222,3.0,Q3,Yes,2.0,54.0,Offer B,Yes,46.7,No,Yes,Fiber Optic,75.0,No,Yes,No,Yes,No,No,No,,Two Year,Yes,Bank Withdrawal,79.95,4362.05,0.0,0.0,2521.8,6883.85,
1.0,Male,19.0,Yes,No,Yes,Yes,1.0,,,,,,,,,Q3,Yes,3.0,,Offer A,Yes,,No,,None,0.0,,No,No,No,,,No,No,,No,Bank Withdrawal,21.0,1493.75,0.0,0.0,410.40000000000003,1904.15,
,,23.0,Yes,No,,No,0.0,United States,California,San Diego,92109.0,"32.787836, -117.232369",32.787836,-117.232376,3.0,Q3,No,0.0,1.0,None,Yes,22.48,No,Yes,Fiber Optic,5.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.65,79.65,,0.0,22.48,102.13000000000001,
,Female,50.0,No,No,No,No,0.0,United States,California,,90005.0,"34.059281, -118.30742",34.059281,-118.30742,3.0,Q3,No,0.0,53.0,None,,2.51,Yes,Yes,Fiber Optic,19.0,Yes,Yes,,No,,No,No,No,Month-to-Month,No,Bank Withdrawal,90.8,4921.2,0.0,60.0,133.03,5114.23,
1.0,Male,27.0,Yes,No,Yes,No,0.0,United States,California,West Covina,91791.0,"34.061634, -117.893169",34.061634,-117.893169,4.0,,No,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,Male,48.0,No,No,Yes,No,0.0,United States,California,Long Barn,95335.0,"38.109125, -120.078597",38.109125,-120.078597,,Q3,Yes,1.0,53.0,Offer B,Yes,15.77,No,,Fiber Optic,9.0,,Yes,No,No,,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,94.25,4867.95,0.0,0.0,835.81,5703.76,
1.0,Female,40.0,No,No,No,No,0.0,United States,California,Seeley,92273.0,"32.790282, -115.689559",,-115.689559,2.0,Q3,No,0.0,9.0,None,Yes,41.92,,Yes,Cable,29.0,,No,No,No,,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,44.2,403.35,0.0,0.0,377.28000000000003,780.6300000000001,
1.0,Male,45.0,No,No,No,No,0.0,United States,California,March Air Reserve Base,92518.0,,33.888323,-117.277533,4.0,Q3,No,0.0,68.0,None,Yes,,Yes,No,None,0.0,,No,No,No,,No,No,No,,Yes,Bank Withdrawal,24.15,1498.85,0.0,0.0,2569.72,4068.5699999999997,
1.0,Female,35.0,No,No,No,No,0,United States,California,Templeton,93465.0,"35.536115, -120.739231",35.536115,-120.739231,4.0,Q3,No,0.0,,None,Yes,35.41,,Yes,,25.0,,No,Yes,No,,No,No,Yes,Month-to-Month,,Bank Withdrawal,80.45,137.1,,0.0,70.82,207.92,
,Male,26.0,No,No,Yes,Yes,1.0,United States,California,Sacramento,95815.0,"38.608405, -121.449942",38.608405,-121.449942,3.0,,No,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,Male,69.0,No,Yes,No,No,0.0,,,,,,,,,Q3,No,0.0,36.0,Offer C,Yes,23.33,Yes,Yes,Fiber Optic,23.0,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,,3186.7,,0.0,839.8799999999999,4026.58,
1.0,,23.0,Yes,No,,No,0.0,,,,,,,,4.0,Q3,No,0.0,7.0,None,No,0.0,No,,DSL,26.0,No,Yes,No,,No,Yes,No,,Two Year,Yes,Bank Withdrawal,44.4,265.8,0.0,0.0,,265.8,
1.0,Male,61.0,No,No,Yes,Yes,2.0,United States,California,Los Angeles,90028.0,"34.099869, -118.326843",34.099869,-118.326843,1.0,Q3,Yes,1.0,47.0,None,Yes,31.35,,Yes,Fiber Optic,16.0,No,Yes,No,No,,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,,4749.15,,0.0,,6222.599999999999,
1.0,Male,22.0,Yes,No,No,No,0.0,United States,California,North Hollywood,91601.0,"34.1692, -118.372498",34.1692,-118.372498,,Q3,No,0.0,2.0,None,,44.31,,Yes,DSL,73.0,,Yes,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Credit Card,54.4,114.1,0.0,,,202.72,
1.0,Male,26.0,Yes,No,Yes,No,0.0,,,,,,,,3.0,Q3,Yes,2.0,61.0,None,Yes,20.34,No,Yes,Cable,51.0,Yes,Yes,,Yes,Yes,,Yes,No,Two Year,Yes,Credit Card,81.05,4747.65,0.0,0.0,1240.74,5988.389999999999,
1.0,Female,37.0,No,No,Yes,No,0.0,United States,California,Stockton,95209.0,,38.044523,-121.348048,3.0,,Yes,2.0,55.0,Offer B,Yes,5.08,Yes,Yes,Fiber Optic,,,,No,No,,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.8,4959.6,0.0,0.0,279.4,5239.0,
1.0,Female,61.0,No,No,No,No,0.0,United States,California,Compton,90221.0,"33.885811, -118.206459",33.885811,,,Q3,No,0,31.0,None,Yes,,No,Yes,DSL,27.0,,Yes,Yes,,Yes,Yes,,No,Two Year,No,Credit Card,79.2,2497.2,0.0,70.0,792.67,,
1.0,Male,53.0,No,No,No,No,0.0,United States,California,Visalia,93277.0,,36.303793,-119.375646,,Q3,No,0,,None,Yes,11.61,No,No,None,0.0,No,No,No,No,,No,No,No,,Yes,Mailed Check,20.45,20.45,0.0,0.0,11.61,32.06,
1.0,Male,22.0,Yes,No,Yes,No,0,United States,California,Canyon Country,91351.0,"34.422519, -118.420717",34.422519,-118.420717,3.0,,No,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,Male,77.0,No,No,Yes,No,0.0,United States,California,Santa Barbara,93101.0,"34.419203, -119.710008",34.419203,-119.710008,2.0,Q3,Yes,1.0,43.0,Offer B,Yes,14.52,Yes,Yes,Fiber Optic,,No,,Yes,Yes,,Yes,No,,Month-to-Month,Yes,Bank Withdrawal,110.75,4687.9,0.0,0.0,624.36,5312.259999999999,
1.0,,23.0,Yes,No,,No,0.0,,California,Los Angeles,90033.0,"34.050198, -118.210946",,-118.210946,2.0,Q3,No,0.0,41.0,None,Yes,10.43,Yes,Yes,Fiber Optic,22.0,No,Yes,Yes,No,Yes,,Yes,No,,Yes,Bank Withdrawal,106.3,4443.45,0.0,,427.63,5001.08,
1.0,Female,30.0,No,No,No,No,0.0,United States,California,Castro Valley,94546.0,"37.708327, -122.083473",37.708327,-122.083473,,Q3,No,0,1.0,Offer E,Yes,15.44,No,Yes,Fiber Optic,51.0,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,No,Bank Withdrawal,90.55,90.55,0.0,,15.44,165.99,
,Male,45.0,No,No,Yes,No,0,United States,California,Cabazon,92230.0,"33.929812, -116.76058",33.929812,-116.76058,,Q3,Yes,4.0,72.0,Offer A,Yes,17.87,Yes,Yes,Fiber Optic,3.0,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Two Year,Yes,,116.95,8594.4,0.0,0.0,1286.64,,
1.0,Male,39.0,No,No,No,No,0.0,United States,California,Culver City,90232.0,"34.019323, -118.391902",34.019323,-118.391902,,Q3,No,0.0,1.0,None,Yes,25.77,No,Yes,Cable,5.0,No,No,No,Yes,,No,,Yes,Month-to-Month,,Credit Card,,49.05,0.0,0.0,,74.82,
1.0,Male,53.0,No,No,Yes,No,0.0,United States,California,Rio Vista,94571.0,"38.148862, -121.737696",38.148862,-121.737696,5.0,,No,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,Female,48.0,No,No,,Yes,1.0,United States,California,Long Beach,90808.0,"33.823943, -118.111335",33.823943,,,Q3,Yes,7.0,14.0,None,Yes,40.22,No,Yes,Fiber Optic,,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,,,1152.8,0.0,0.0,,1715.8799999999999,
1.0,Male,37.0,No,No,No,Yes,3.0,United States,California,Scotia,95565.0,"40.440636, -124.098739",40.440636,-124.098739,3.0,Q3,No,0.0,1.0,None,Yes,17.89,No,No,None,0.0,No,No,No,No,,No,,No,Month-to-Month,Yes,Credit Card,19.2,,,,,37.09,
1.0,,23.0,Yes,No,,No,0.0,United States,,Yucca Valley,92284.0,"34.159534, -116.425984",,-116.425984,,Q3,Yes,1.0,72.0,None,Yes,17.3,Yes,Yes,,23.0,Yes,Yes,Yes,No,Yes,Yes,No,Yes,,Yes,,,5981.65,0.0,0.0,1245.6000000000001,7227.25,
1.0,Female,60.0,No,No,No,No,0.0,United States,,Valley Springs,95252.0,"38.156971, -120.849231",38.156971,-120.849231,,,No,0.0,3.0,,Yes,40.98,No,No,None,0.0,No,,,No,No,No,,No,,,Bank Withdrawal,19.55,61.05,,0.0,122.94,183.99,
