Churn Category,Age,Number of Dependents,Population,Latitude,Longitude,Satisfaction Score,Number of Referrals,Tenure in Months,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Gender-Male,Gender-Female,Under 30-Yes,Under 30-No,Senior Citizen-Yes,Senior Citizen-No,Married-Yes,Married-No,Dependents-Yes,Dependents-No,Referred a Friend-Yes,Referred a Friend-No,Offer-Offer B,Offer-Offer E,Offer-None,Offer-Offer C,Offer-Offer A,Offer-Offer D,Phone Service-Yes,Phone Service-No,Multiple Lines-Yes,Multiple Lines-No,Internet Service-Yes,Internet Service-No,Internet Type-Fiber Optic,Internet Type-DSL,Internet Type-Cable,Internet Type-None,Online Security-Yes,Online Security-No,Online Backup-Yes,Online Backup-No,Device Protection Plan-Yes,Device Protection Plan-No,Premium Tech Support-Yes,Premium Tech Support-No,Streaming TV-Yes,Streaming TV-No,Streaming Movies-Yes,Streaming Movies-No,Streaming Music-Yes,Streaming Music-No,Unlimited Data-Yes,Unlimited Data-No,Contract-Two Year,Contract-Month-to-Month,Contract-One Year,Paperless Billing-Yes,Paperless Billing-No,Payment Method-Mailed Check,Payment Method-Credit Card,Payment Method-Bank Withdrawal
0,63,0,36738,36.125529,-121.201018,3,0,60,39.41,0,25,1505.05,0,0,2364.6,3869.65,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0
0,47,0,17944,36.125529,-119.4729985,4,0,29,47.45,5,65.75,1111.2,0,0,806.65,1917.85,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1
0,74,0,1317,36.125529,-120.02609,4,2,29,12.33,23,64.2,2106.3,0,0,419.22,2525.52,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1
0,57,0,9960,33.876482,-119.4729985,3,0,29,22.61,16,70.2,1379.175,0,0,411.36,2106.41,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,65,0,17944,40.524535,-122.647172,3,0,46,16.04,26,69.1,3255.35,0,0,737.84,3993.19,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0
0,73,0,48170,33.881158,-117.854783,3,10,72,22.61,30,93.05,6735.05,0,0,96.48,6831.53,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1
0,77,0,17944,33.653338,-117.178271,5,1,29,22.61,16,70.2,1442,0,0,411.36,2533.85,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1
0,46,0,5094,37.873283,-121.292034,4,0,29,30.8,27,70.2,520.95,0,0,411.36,767.35,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1
1,34,0,46227,33.60693,-117.644253,3,0,1,2.24,6,70.15,70.15,0,0,2.24,2106.41,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0
0,46,0,16398,33.867593,-118.080637,3,2,60,22.95,15,104.35,6339.45,41.23,0,1377,7675.22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0
1,46,0,17944,33.848733,-117.788357,3,0,4,48.35,24,89.2,346.2,0,0,193.4,539.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
5,72,0,47224,36.125529,-117.134917,3,1,33,27.78,8,94.5,1379.175,0,0,411.36,4022.29,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1
0,34,2,30852,36.125529,-118.346766,3,0,9,27.64,29,50.1,484.05,0,0,248.76,732.81,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1
0,46,0,17944,36.125529,-119.4729985,4,0,71,4.89,0,24.35,1654.6,0,0,347.19,2001.79,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,54,0,407,39.170376,-119.4729985,3,0,44,49.57,21,70.2,1379.175,0,100,411.36,5985.23,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
4,46,0,1601,39.225634,-121.156163,3,0,29,22.61,16,70.2,1379.175,0,0,411.36,2106.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,46,0,17944,34.536232,-118.082935,3,9,18,43.69,0,24.65,471.35,0,0,786.42,1257.77,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0
3,58,0,88,35.710244,-119.4729985,3,0,29,22.61,16,70.2,1379.175,0,0,411.36,2106.41,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,46,2,1130,36.635661,-120.288644,3,7,36,40.54,59,92.9,3379.25,0,0,1459.44,4838.69,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0
0,24,3,3041,41.163637,-119.4729985,4,9,72,22.61,51,70.2,1379.175,0,80,0,4558.85,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
0,46,0,13386,37.424342,-122.165641,3,0,69,22.61,28,85.35,5897.4,0,0,1274.43,7171.83,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
0,46,0,28098,36.125529,-119.4729985,5,0,29,49.66,0,20.05,96.8,0,0,347.62,444.42,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
4,46,0,9423,38.581354,-122.296283,3,1,33,35.31,0,24.5,740.3,35.05,0,1165.23,1870.48,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0
0,20,2,47568,33.902045,-119.4729985,3,1,7,25.64,16,50.7,350.35,0,0,179.48,529.83,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0
0,27,0,73686,34.078991,-118.263804,3,0,4,22.61,73,80.15,319.85,0,0,26,345.85,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0
1,65,0,44078,37.766556,-121.976784,2,0,4,49.5,23,70.2,424.45,0,0,198,622.45,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
0,75,0,5246,36.125529,-121.737696,3,8,57,22.61,15,95.3,5567.45,0,0,411.36,7177.7,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0
0,20,0,40705,33.833699,-118.314387,3,0,20,31.02,0,19.4,415.4,0,0,620.4,1035.8,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0
3,39,0,960,36.125529,-119.4729985,3,0,16,18.99,30,95.6,1555.65,0,0,303.84,1859.49,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0
0,57,0,17944,36.623632,-119.741322,3,0,65,22.61,17,84.85,5459.2,0,0,2713.1,8172.3,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1
0,29,0,60553,33.844983,-117.952151,3,2,71,40.63,69,70.2,4681.75,4.7,0,2884.73,7561.78,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1
0,61,0,1933,34.983808,-119.4729985,3,0,29,22.61,16,70.2,1379.175,0,0,411.36,2106.41,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,65,0,26933,34.049172,-118.115022,3,0,65,19.58,26,107.45,7047.5,0,0,1272.7,8320.2,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1
0,62,0,13840,39.913777,-122.289984,3,0,5,41.93,0,19.65,92.05,0,0,209.65,301.7,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0
0,44,2,17944,34.108455,-118.362081,3,10,16,7.14,0,19.7,301.55,0,0,114.24,2106.41,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0
0,24,0,17944,36.125529,-119.4729985,3,5,43,48.1,51,71.9,3173.35,0,0,2068.3,5241.65,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0
0,62,1,24644,34.142747,-117.300864,3,0,61,32.05,0,70.2,1379.175,0,0,1955.05,3453.4,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0
0,60,0,7615,33.012751,-119.4729985,3,0,17,22.61,19,83.55,1379.175,0,0,411.36,1713.52,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1
2,46,0,171,38.349195,-121.902943,3,0,4,27.57,27,79,303.15,0,0,110.28,413.43,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0
0,49,0,33883,37.555473,-122.080312,3,0,1,43.06,9,70.2,83.4,0,0,43.06,126.46,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0
0,39,0,17944,41.505916,-120.152505,3,10,67,0,6,70.2,1379.175,0,0,0,3521.7,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1
0,51,0,14477,36.220761,-120.980777,3,0,64,44.31,4,115.1,7334.05,0,0,2835.84,10169.89,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
0,21,0,27414,34.145695,-119.4729985,3,7,11,1.92,0,20.6,233.9,0,0,21.12,255.02,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0
0,56,3,8577,36.125529,-120.453416,5,2,38,22.61,30,78.95,1379.175,0,0,519.46,3382.01,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0
0,46,0,17944,37.902968,-119.667544,5,0,3,13.72,26,84.3,235.05,0,0,411.36,276.21,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1
0,46,0,86,40.171312,-121.120605,5,3,41,20.41,16,109.1,4454.25,0,0,836.81,5291.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1
0,44,0,50641,33.787165,-117.931889,3,7,44,32.22,0,24.85,1013.6,0,0,1417.68,2431.28,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1
0,46,0,61623,34.065108,-118.082791,3,0,29,22.61,16,70.2,1379.175,0,0,411.36,2106.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,33,0,322,39.672813,-119.4729985,5,0,36,44.87,8,76.35,2606.35,0,0,1615.32,4221.67,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
0,46,0,17944,36.125529,-119.4729985,4,0,1,14.65,15,70.2,55.05,0,0,14.65,69.7,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0
4,24,0,10159,37.422961,-120.765493,3,0,1,26.12,0,20.5,1379.175,0,0,26.12,46.62,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0
0,43,0,17944,39.408634,-123.045516,4,1,72,38.3,3,97.95,7114.25,0,0,2757.6,2106.41,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
0,46,0,17846,36.125529,-119.4729985,3,0,17,33.68,14,55.5,934.15,0,0,572.56,1506.71,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0
0,32,0,24005,32.782501,-117.01611,3,0,72,2.25,16,101.3,7261.25,0,0,162,7423.25,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
0,27,1,17944,36.125529,-119.4729985,5,4,10,4.16,0,24.4,253.9,0,0,41.6,2106.41,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0
0,60,0,53481,35.449881,-118.841442,5,0,3,49.63,26,80.35,253.8,0,0,148.89,402.69,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1
2,34,0,17944,40.022184,-121.062384,3,1,1,11.08,13,69.8,69.8,0,0,11.08,80.88,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
0,50,0,17944,36.125529,-119.4729985,3,2,72,38.44,16,108.5,8003.8,0,0,2767.68,10771.48,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1
0,68,0,55668,34.044271,-118.185237,4,4,55,22.61,21,70.2,5044.8,12.48,0,1250.7,6283.02,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1
0,27,1,6918,36.125529,-120.080117,3,1,29,29.67,16,85.5,5696.6,0,0,2017.56,7714.16,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0
